/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 os.py:742(encode)
       62    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       14    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.000    0.000 console_pager.py:16(<module>)
        1    0.000    0.000    0.000    0.000 console_attr_os.py:16(<module>)
        6    0.000    0.000    0.000    0.000 argparse.py:802(__init__)
        6    0.000    0.000    0.000    0.000 argparse.py:2361(_get_formatter)
        1    0.000    0.000    0.000    0.000 trace.py:26(<module>)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       91    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
        1    0.000    0.000    0.001    0.001 inspect.py:760(findsource)
        4    0.000    0.000    0.000    0.000 ast.py:215(walk)
        8    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       10    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 console_attr.py:211(ConsoleAttr)
        1    0.000    0.000    0.000    0.000 text.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(DocstringInfo)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
       20    0.000    0.000    0.000    0.000 tokenize.py:112(group)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 core.py:241(_PrintResult)
        2    0.000    0.000    0.000    0.000 inspect.py:680(getsourcefile)
        1    0.000    0.000    0.000    0.000 inspect.py:2732(__init__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       45    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 platforms.py:164(Architecture)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 decorators.py:19(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:15(<module>)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
        1    0.000    0.000    0.000    0.000 bz2.py:32(BZ2File)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.006    0.006 pipes.py:57(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 core.py:709(_ParseFn)
       52    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
        1    0.000    0.000    0.000    0.000 inspect.py:2183(_signature_from_callable)
       12    0.000    0.000    0.000    0.000 ast.py:166(iter_fields)
        4    0.000    0.000    0.000    0.000 enum.py:760(_missing_)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 platforms.py:50(OperatingSystem)
        1    0.000    0.000    0.000    0.000 text.py:92(TextTypes)
       13    0.000    0.000    0.000    0.000 argparse.py:1291(_registry_get)
        6    0.000    0.000    0.000    0.000 argparse.py:1564(_add_action)
        1    0.000    0.000    0.000    0.000 subprocess.py:60(CalledProcessError)
        1    0.000    0.000    0.000    0.000 value_types.py:15(<module>)
        1    0.000    0.000    0.000    0.000 interact.py:21(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:159(HelpFormatter)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        1    0.000    0.000    0.000    0.000 completion.py:289(<dictcomp>)
        1    0.000    0.000    0.000    0.000 inspectutils.py:99(GetFullArgSpec)
        1    0.000    0.000    0.000    0.000 docstrings.py:96(Sections)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 threading.py:757(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 tokenize.py:355(detect_encoding)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
